MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,CARRIER_HISTORICAL,DEP_AIRPORT_HIST,DAY_HISTORICAL,DEP_BLOCK_HIST
5,1,0,0900-0959,3,3,9,128,American Airlines Inc.,5139,78894,618,564680,11744595,9.82E-05,0.000177287,19,Louis Armstrong New Orleans International,29.991,-90.251,Douglas Municipal,0,0,0,84,7.83,0.257273013,0.214223952,0.193667889,0.131480537
3,4,0,0700-0759,4,1,11,160,American Airlines Inc.,4610,78308,389,477995,11744595,9.82E-05,0.000177287,5,Kansas City International,39.298,-94.714,NONE,0,0,0,38,14.09,0.190791448,0.187867313,0.179451845,0.087364398
1,1,0,2200-2259,1,6,19,50,SkyWest Airlines Inc.,11784,62105,2857,1486066,3472966,3.42E-05,9.90E-05,16,Detroit Metro Wayne County,42.217,-83.344,Piedmont Triad International,0.05,0,0,53,15.88,0.208050847,0.151010702,0.176996912,0.186513793
8,5,1,1200-1259,2,3,9,69,"Midwest Airline, Inc.",4088,28070,1081,344196,1529740,1.25E-06,0.000123823,11,Port Columbus International,39.991,-82.878,John F. Kennedy International,0,0,0,86,7.16,0.195649816,0.268372275,0.211041372,0.182100981
6,7,0,0700-0759,3,1,15,132,Delta Air Lines Inc.,5529,87183,773,800302,12460183,0.000144166,0.00014866,19,Portland International,45.589,-122.595,NONE,0,0,0,85,6.49,0.200730053,0.187867313,0.270709157,0.110787619
8,3,0,0700-0759,5,1,24,150,JetBlue Airways,10855,25270,3662,1680928,3190369,0.000160039,0.000126866,11,John F. Kennedy International,40.639,-73.777,NONE,0.35,0,0,91,8.28,0.316662509,0.187867313,0.221672355,0.098669345
2,2,1,2200-2259,2,7,2,143,Southwest Airlines Co.,6562,94922,4356,1093478,13382999,6.18E-05,9.89E-05,14,Friendship International,39.176,-76.671,Atlanta Municipal,0.81,0,0,35,9.17,0.258887292,0.194930382,0.205745015,0.227854583
9,6,0,0900-0959,3,2,10,76,SkyWest Airlines Inc.,13331,66731,3822,1486066,3472966,3.42E-05,9.90E-05,11,Detroit Metro Wayne County,42.217,-83.344,Richmond International,0.23,0,0,85,4.47,0.138153902,0.125694444,0.104450433,0.102553906
6,3,0,0900-0959,2,2,2,76,SkyWest Airlines Inc.,1199,71188,98,106354,3472966,3.42E-05,9.90E-05,11,Rochester Monroe County,43.121,-77.671,Detroit Metro Wayne County,0.46,0,0,81,5.14,0.208210409,0.202731848,0.237174818,0.151936612
7,6,0,1200-1259,2,4,20,143,Southwest Airlines Co.,12603,117728,925,1472200,13382999,6.18E-05,9.89E-05,15,Logan International,42.364,-71.006,Friendship International,0,0,0,82,9.84,0.215945077,0.261365388,0.203312576,0.174585415
1,4,0,1900-1959,2,5,4,160,American Airlines Inc.,3383,75506,479,429725,11744595,9.82E-05,0.000177287,5,Orange County,33.676,-117.867,Phoenix Sky Harbor International,0,0,0,64,2.91,0.160843514,0.148173673,0.198971757,0.247918965
9,7,0,1400-1459,5,2,22,173,United Air Lines Inc.,10832,51239,4673,1708599,8501631,0.000253804,0.000228985,6,Newark Liberty International,40.696,-74.172,Fort Lauderdale-Hollywood International,0,0,0,77,9.4,0.167618164,0.132648601,0.126876253,0.156406978
7,3,0,1500-1559,2,4,6,143,Southwest Airlines Co.,6167,117728,2339,874468,13382999,6.18E-05,9.89E-05,19,Tampa International,27.973,-82.535,Atlanta Municipal,0.06,0,0,90,5.59,0.215945077,0.221415829,0.203027092,0.255478759
3,5,0,0600-0659,2,1,11,90,Comair Inc.,1886,24032,179,170270,1245396,0,9.00E-05,5,Standiford Field,38.18,-85.739,NONE,0,0,0,39,6.26,0.175814883,0.187867313,0.201711417,0.064816281
7,1,0,1500-1559,2,4,86,50,SkyWest Airlines Inc.,35086,72721,2297,4365661,3472966,3.42E-05,9.90E-05,19,Atlanta Municipal,33.641,-84.427,Greater Peoria,0,0,0,91,3.36,0.188373501,0.187867313,0.219938971,0.255478759
7,1,1,1900-1959,7,5,27,160,American Airlines Inc.,26639,79247,13367,2907365,11744595,9.82E-05,0.000177287,8,Dallas Fort Worth Regional,32.894,-97.03,Raleigh-Durham International,0.01,0,0,92,9.62,0.237709147,0.212199535,0.219938971,0.352128146
8,2,0,1800-1859,4,2,82,160,American Airlines Inc.,27148,80820,13678,2907365,11744595,9.82E-05,0.000177287,18,Dallas Fort Worth Regional,32.894,-97.03,Miami International,0,0,0,102,7.61,0.228215169,0.295612468,0.218547944,0.308386249
6,6,0,1000-1059,5,2,24,76,Endeavor Air Inc.,14197,21319,965,1581456,1212846,0,9.35E-05,5,Minneapolis-St Paul International,44.886,-93.218,Washington Dulles International,0,0,0,94,5.59,0.254404275,0.201113262,0.230688359,0.172352038
10,1,1,0001-0559,6,1,18,180,Frontier Airlines Inc.,22355,12581,2616,2743323,1857122,0.000115726,7.13E-06,9,Stapleton International,39.774,-104.88,NONE,0.22,2,3.9,21,5.37,0.254606995,0.187867313,0.163570662,0.068978659
10,4,1,1700-1759,2,3,12,149,Delta Air Lines Inc.,6015,86312,625,642980,12460183,0.000144166,0.00014866,28,Lambert-St. Louis International,38.747,-90.364,Atlanta Municipal,0,0,0,62,3.8,0.118414853,0.158887996,0.192619318,0.210931174
11,7,1,1500-1559,2,5,5,70,Comair Inc.,2035,23395,218,170270,1245396,0,9.00E-05,15,Standiford Field,38.18,-85.739,Douglas Municipal,0,0,0,49,1.34,0.17646132,0.151255582,0.113885316,0.169077352
7,7,0,2000-2059,2,3,28,76,Endeavor Air Inc.,13900,21554,1742,1208249,1212846,0,9.35E-05,12,LaGuardia,40.779,-73.876,Myrtle Beach International,0,0,0,92,11.41,0.190766915,0.223837209,0.222538482,0.336198362
11,4,0,1500-1559,5,1,24,100,JetBlue Airways,9943,24694,3296,1680928,3190369,0.000160039,0.000126866,13,John F. Kennedy International,40.639,-73.777,NONE,0,0,0,53,7.38,0.188250751,0.187867313,0.139886069,0.169077352
10,1,0,1800-1859,8,4,16,160,Delta Air Lines Inc.,7503,86312,774,732595,12460183,0.000144166,0.00014866,20,Nashville International,36.127,-86.682,Salt Lake City International,0.83,0,0,82,3.8,0.118414853,0.104343998,0.163570662,0.22621527
5,1,0,0600-0659,5,1,16,200,JetBlue Airways,10815,24886,3537,1680928,3190369,0.000160039,0.000126866,3,John F. Kennedy International,40.639,-73.777,NONE,0,0,0,67,8.95,0.218382262,0.187867313,0.193667889,0.06922199
4,3,0,2000-2059,5,4,20,228,Spirit Air Lines,12669,16316,433,1472200,2688839,9.17E-06,0.000124651,3,Logan International,42.364,-71.006,Fort Lauderdale-Hollywood International,0.4,0,0,65,18.12,0.186516215,0.225439331,0.127615679,0.248850205
3,4,1,1300-1359,4,3,25,143,Southwest Airlines Co.,11965,114119,1338,955406,13382999,6.18E-05,9.89E-05,13,Ronald Reagan Washington National,38.852,-77.037,Atlanta Municipal,0,0,0,75,11.18,0.204389222,0.14253203,0.179451845,0.192602163
7,4,0,0800-0859,5,1,33,191,Delta Air Lines Inc.,10704,90457,2868,1680928,12460183,0.000144166,0.00014866,1,John F. Kennedy International,40.639,-73.777,NONE,0,0,0,86,6.26,0.190218739,0.187867313,0.228007181,0.113049748
6,7,1,1400-1459,4,2,43,76,Endeavor Air Inc.,25390,21319,171,2907365,1212846,0,9.35E-05,11,Dallas Fort Worth Regional,32.894,-97.03,Cincinnati/Northern Kentucky International,0.01,0,0,90,10.74,0.254404275,0.249052704,0.270709157,0.26731448
6,5,0,1100-1159,2,2,3,65,American Eagle Airlines Inc.,1424,27159,135,118923,1204766,0.000348408,0.000106867,9,Des Moines Municipal,41.534,-93.657,Chicago O'Hare International,0.01,0,0,76,12.75,0.24696065,0.308247627,0.222677771,0.190774512
3,5,0,1600-1659,5,3,7,142,United Air Lines Inc.,4192,53007,216,385767,8501631,0.000253804,0.000228985,21,Pittsburgh International,40.497,-80.236,Houston Intercontinental,0,0,0,36,4.92,0.184029614,0.158943424,0.201711417,0.216359437
1,2,0,1500-1559,4,3,8,76,Mesa Airlines Inc.,2641,17869,141,289569,1191889,0,9.13E-05,3,Jacksonville International,30.485,-81.688,Washington Dulles International,0,0,0,55,4.92,0.165151216,0.148065683,0.159489434,0.210052789
3,4,0,0600-0659,5,1,13,128,American Airlines Inc.,3488,78308,799,401950,11744595,9.82E-05,0.000177287,6,San Antonio International,29.533,-98.469,NONE,0.01,0,0,78,11.63,0.190791448,0.187867313,0.179451845,0.064816281
10,3,0,1700-1759,3,2,7,69,"Midwest Airline, Inc.",4135,28628,292,404265,1529740,1.25E-06,0.000123823,13,Cleveland-Hopkins International,41.411,-81.849,Logan International,0.39,0,0,64,6.93,0.156035538,0.186675181,0.15751081,0.210931174
11,4,0,1800-1859,3,4,83,160,American Airlines Inc.,24926,77179,12790,2907365,11744595,9.82E-05,0.000177287,18,Dallas Fort Worth Regional,32.894,-97.03,Tucson International,0.04,0,0,77,11.86,0.142302374,0.12783852,0.139886069,0.192616144
11,1,1,1800-1859,2,6,81,76,American Eagle Airlines Inc.,24926,25517,4903,2907365,1204766,0.000348408,0.000106867,2,Dallas Fort Worth Regional,32.894,-97.03,Bush Field,0,0,0,71,4.03,0.117559055,0.187867313,0.152293329,0.192616144
2,7,1,2100-2159,5,4,1,129,Allegiant Air,1211,7180,59,118923,1257616,1.33E-05,0.000107743,11,Des Moines Municipal,41.534,-93.657,McCarran International,0.25,3,1.2,28,5.59,0.223219629,0.271889967,0.191045263,0.291655064
6,2,1,1600-1659,10,2,24,168,Delta Air Lines Inc.,18543,87183,3266,2780593,12460183,0.000144166,0.00014866,23,Los Angeles International,33.942,-118.408,John F. Kennedy International,0,0,0,68,8.05,0.200730053,0.242015901,0.232388147,0.32778965
10,5,1,0600-0659,7,1,49,157,Alaska Airlines Inc.,29960,22073,326,3103410,2884187,3.23E-05,0.000174601,7,Chicago O'Hare International,41.978,-87.906,NONE,0,0,0,48,3.8,0.134774543,0.187867313,0.193713396,0.058525397
11,6,0,0800-0859,2,2,76,50,SkyWest Airlines Inc.,26830,66502,4964,3103410,3472966,3.42E-05,9.90E-05,17,Chicago O'Hare International,41.978,-87.906,Akron-Canton Regional,0,0,0,46,10.29,0.136377483,0.187867313,0.13570632,0.094316995
12,6,0,0600-0659,3,1,20,146,Alaska Airlines Inc.,13645,21752,1778,1908862,2884187,3.23E-05,0.000174601,8,San Francisco International,37.619,-122.375,NONE,0,0,0,62,4.03,0.24070506,0.187867313,0.200428362,0.081938701
8,4,0,1800-1859,8,3,14,228,Spirit Air Lines,14631,18296,997,1486066,2688839,9.17E-06,0.000124651,1,Detroit Metro Wayne County,42.217,-83.344,San Diego International Lindbergh Fl,0,0,0,81,13.42,0.265889831,0.160958326,0.242021354,0.308386249
7,1,1,1700-1759,4,5,30,143,Southwest Airlines Co.,12133,117728,3548,1823051,13382999,6.18E-05,9.89E-05,13,Orlando International,28.432,-81.325,Chicago Midway International,0.32,0,0,94,5.14,0.215945077,0.287990672,0.219938971,0.310534436
8,2,0,1800-1859,6,2,81,160,American Airlines Inc.,27148,80820,13678,2907365,11744595,9.82E-05,0.000177287,19,Dallas Fort Worth Regional,32.894,-97.03,Palm Beach International,0,0,0,99,8.05,0.228215169,0.24829932,0.218547944,0.308386249
2,6,0,1800-1859,2,4,42,66,SkyWest Airlines Inc.,28011,56790,2087,4365661,3472966,3.42E-05,9.90E-05,17,Atlanta Municipal,33.641,-84.427,Baton Rouge Metropolitan/Ryan Field,0,0,0,54,10.51,0.23924894,0.187867313,0.163938839,0.295048467
3,4,0,0700-0759,5,2,33,180,Delta Air Lines Inc.,12338,84142,1509,1472200,12460183,0.000144166,0.00014866,2,Logan International,42.364,-71.006,Atlanta Municipal,0,0,0,51,7.38,0.124075271,0.14253203,0.179451845,0.087364398
10,7,0,1200-1259,4,2,77,66,SkyWest Airlines Inc.,25833,71625,1405,2907365,3472966,3.42E-05,9.90E-05,14,Dallas Fort Worth Regional,32.894,-97.03,Flagstaff Pulliam,0.01,0,0,98,11.63,0.147942283,0.187867313,0.16537086,0.164481526
4,1,0,1600-1659,5,2,21,150,JetBlue Airways,10372,24966,3317,1680928,3190369,0.000160039,0.000126866,16,John F. Kennedy International,40.639,-73.777,Palm Beach International,0.78,0,0,62,19.91,0.267584004,0.240088106,0.237971867,0.244577801
8,5,0,1800-1859,2,5,4,66,SkyWest Airlines Inc.,3463,74087,351,429725,3472966,3.42E-05,9.90E-05,10,Orange County,33.676,-117.867,San Francisco International,0,0,0,77,6.93,0.172595947,0.238865004,0.211041372,0.308386249
7,2,0,0700-0759,4,1,43,154,United Air Lines Inc.,15196,55374,5201,1690031,8501631,0.000253804,0.000228985,14,Houston Intercontinental,29.983,-95.34,NONE,0,0,0,91,12.3,0.236600959,0.187867313,0.202011935,0.101235847
10,5,0,1500-1559,2,3,23,175,Southwest Airlines Co.,14566,115051,6206,1903352,13382999,6.18E-05,9.89E-05,3,McCarran International,36.08,-115.152,Chicago Midway International,0,0,0,72,6.71,0.179322906,0.211816953,0.193713396,0.196905353
12,6,0,0600-0659,2,1,23,76,"Midwest Airline, Inc.",13493,28319,2770,1208249,1529740,1.25E-06,0.000123823,11,LaGuardia,40.779,-73.876,NONE,0,0,0,50,8.28,0.186216144,0.187867313,0.200428362,0.081938701
7,7,0,0700-0759,3,1,5,50,SkyWest Airlines Inc.,1766,72721,243,126323,3472966,3.42E-05,9.90E-05,15,Birmingham Airport,33.563,-86.756,NONE,1.6,0,0,90,6.04,0.188373501,0.187867313,0.222538482,0.101235847
5,1,0,1000-1059,10,1,10,159,JetBlue Airways,10815,24886,3537,1680928,3190369,0.000160039,0.000126866,5,John F. Kennedy International,40.639,-73.777,NONE,0,0,0,89,14.76,0.218382262,0.187867313,0.193667889,0.156042105
7,6,0,1200-1259,5,2,14,154,United Air Lines Inc.,6167,55374,670,874468,8501631,0.000253804,0.000228985,20,Tampa International,27.973,-82.535,Chicago O'Hare International,0,0,0,92,5.37,0.236600959,0.273235738,0.203312576,0.174585415
5,1,1,0001-0559,1,1,4,79,Mesa Airlines Inc.,1591,18618,216,154047,1191889,0,9.13E-05,16,Tucson International,32.116,-110.941,NONE,0,0,0,86,7.83,0.19623399,0.187867313,0.193667889,0.083390528
10,4,0,1600-1659,1,5,2,44,American Eagle Airlines Inc.,1202,27632,287,89733,1204766,0.000348408,0.000106867,16,Piedmont Triad International,36.092,-79.943,Douglas Municipal,0,0,0,69,0.45,0.143061824,0.162614615,0.192619318,0.217823991
6,1,0,1100-1159,4,2,49,191,Delta Air Lines Inc.,33994,87183,21122,4365661,12460183,0.000144166,0.00014866,1,Atlanta Municipal,33.641,-84.427,San Antonio International,0,0,0,90,5.37,0.200730053,0.213653603,0.253568181,0.190774512
2,3,0,0600-0659,7,1,32,173,United Air Lines Inc.,22752,43512,5161,3103410,8501631,0.000253804,0.000228985,6,Chicago O'Hare International,41.978,-87.906,NONE,0.09,0.2,2,38,13.87,0.189495755,0.187867313,0.231888823,0.078905552
11,2,0,1700-1759,3,4,46,160,American Airlines Inc.,26830,77179,5439,3103410,11744595,9.82E-05,0.000177287,6,Chicago O'Hare International,41.978,-87.906,LaGuardia,0.01,0,0,41,2.91,0.142302374,0.147342739,0.153129972,0.182646234
5,3,0,1900-1959,2,4,23,50,Endeavor Air Inc.,10815,20860,1833,1680928,1212846,0,9.35E-05,16,John F. Kennedy International,40.639,-73.777,Norfolk International,0.01,0,0,55,8.05,0.15217575,0.181034483,0.180775199,0.307368618
1,1,0,0700-0759,7,1,6,175,Southwest Airlines Co.,2327,107363,915,279230,13382999,6.18E-05,9.89E-05,3,General Mitchell Field,42.95,-87.897,NONE,0.01,0.9,3.9,22,10.29,0.172437436,0.187867313,0.176996912,0.088474768
8,7,0,1900-1959,9,3,11,173,United Air Lines Inc.,4293,55706,577,404265,8501631,0.000253804,0.000228985,5,Cleveland-Hopkins International,41.411,-81.849,San Francisco International,0,0,0,79,8.05,0.221460287,0.238865004,0.196519162,0.322358176
7,7,0,1200-1259,4,3,6,76,Mesa Airlines Inc.,2250,19483,17,204019,1191889,0,9.13E-05,3,Eppley Airfield,41.302,-95.893,Houston Intercontinental,1.87,0,0,80,12.08,0.194841885,0.23101564,0.222538482,0.174585415
12,6,0,0800-0859,5,1,21,175,Southwest Airlines Co.,9282,113248,2160,1391212,13382999,6.18E-05,9.89E-05,5,Fort Lauderdale-Hollywood International,26.074,-80.152,NONE,0,0,0,85,9.84,0.264038108,0.187867313,0.200428362,0.131552018
12,7,0,1100-1159,2,1,64,128,American Airlines Inc.,19683,79228,8434,2006675,11744595,9.82E-05,0.000177287,17,Douglas Municipal,35.219,-80.936,NONE,0,0,0,61,5.37,0.178344776,0.187867313,0.226980168,0.193888393
3,3,0,1500-1559,7,2,3,128,American Airlines Inc.,1619,78308,53,148882,11744595,9.82E-05,0.000177287,19,Kent County,42.881,-85.524,Phoenix Sky Harbor International,0.12,0,0,50,9.62,0.190791448,0.203750224,0.151268815,0.20203699
2,6,0,0800-0859,3,1,18,176,American Airlines Inc.,7168,70199,4218,1413432,11744595,9.82E-05,0.000177287,18,Miami International,25.792,-80.286,NONE,0,0,0,81,8.05,0.200843581,0.187867313,0.163938839,0.13273326
6,5,0,1600-1659,8,2,27,180,Delta Air Lines Inc.,13872,87183,5150,1486066,12460183,0.000144166,0.00014866,5,Detroit Metro Wayne County,42.217,-83.344,Seattle International,0.53,0,0,91,5.14,0.200730053,0.187631143,0.222677771,0.32778965
5,2,0,2300-2359,1,7,12,50,SkyWest Airlines Inc.,34238,70878,2682,4365661,3472966,3.42E-05,9.90E-05,15,Atlanta Municipal,33.641,-84.427,Mobile Regional,0,0,0,84,5.14,0.174223672,0.187867313,0.190876701,0.220910038
11,6,0,2300-2359,4,4,3,150,JetBlue Airways,8495,24694,2155,1391212,3190369,0.000160039,0.000126866,19,Fort Lauderdale-Hollywood International,26.074,-80.152,Philadelphia International,0,0,0,80,5.37,0.188250751,0.123115578,0.13570632,0.130089374
9,2,0,0600-0659,4,1,11,150,American Airlines Inc.,14118,76533,607,1690031,11744595,9.82E-05,0.000177287,18,Houston Intercontinental,29.983,-95.34,NONE,0,0,0,90,10.07,0.15382995,0.187867313,0.130811488,0.05556236
12,6,0,2200-2259,1,1,11,150,JetBlue Airways,12223,25034,4422,1472200,3190369,0.000160039,0.000126866,16,Logan International,42.364,-71.006,NONE,0,0,0,51,10.96,0.305875,0.187867313,0.200428362,0.279208754
7,1,0,1300-1359,7,2,26,181,Alaska Airlines Inc.,13781,24454,6465,1960746,2884187,3.23E-05,0.000174601,1,Seattle International,47.447,-122.306,Dallas Fort Worth Regional,0,0,0,83,5.82,0.153479807,0.221674613,0.219938971,0.197821471
6,2,1,1200-1259,7,3,24,186,Frontier Airlines Inc.,21878,11337,2386,2743323,1857122,0.000115726,7.13E-06,3,Stapleton International,39.774,-104.88,Detroit Metro Wayne County,0,0,0,83,12.75,0.330894533,0.202731848,0.232388147,0.211236332
5,5,0,1100-1159,2,3,9,160,American Airlines Inc.,4271,78894,593,385767,11744595,9.82E-05,0.000177287,19,Pittsburgh International,40.497,-80.236,Chicago O'Hare International,0.14,0,0,71,2.24,0.257273013,0.238333995,0.206977299,0.163325204
11,6,0,1500-1559,1,5,10,175,Southwest Airlines Co.,2243,108130,207,301832,13382999,6.18E-05,9.89E-05,7,Kahului Airport,20.901,-156.434,Honolulu International,0,0,0,87,4.25,0.173056233,0.074748131,0.13570632,0.169077352
2,1,0,1200-1259,2,2,27,143,Southwest Airlines Co.,11500,94922,5104,1903352,13382999,6.18E-05,9.89E-05,14,McCarran International,36.08,-115.152,Lambert-St. Louis International,0.05,0,0,49,12.97,0.258887292,0.250619579,0.229538784,0.228410256
2,5,0,0800-0859,4,2,25,143,Southwest Airlines Co.,11500,94922,5104,1903352,13382999,6.18E-05,9.89E-05,14,McCarran International,36.08,-115.152,Kansas City International,0.01,0,0,58,13.2,0.258887292,0.203252033,0.236964685,0.13273326
4,4,0,0800-0859,5,2,42,160,American Airlines Inc.,22914,74131,11638,2907365,11744595,9.82E-05,0.000177287,5,Dallas Fort Worth Regional,32.894,-97.03,Tampa International,0.2,0,0,71,12.75,0.204604288,0.18410484,0.171316644,0.106597423
10,4,1,1500-1559,1,3,35,76,SkyWest Airlines Inc.,13751,71625,3687,1581456,3472966,3.42E-05,9.90E-05,11,Minneapolis-St Paul International,44.886,-93.218,Cleveland-Hopkins International,0.41,0,0,59,16.11,0.147942283,0.125995154,0.192619318,0.196905353
12,1,1,1000-1059,5,2,67,66,SkyWest Airlines Inc.,27188,70473,5294,3103410,3472966,3.42E-05,9.90E-05,9,Chicago O'Hare International,41.978,-87.906,Blue Grass,0.01,0.3,0,30,6.71,0.202512534,0.187867313,0.25164658,0.184210526
